0,38
38,0
0,64
64,0
1,5
5,1
1,64
64,1
2,76
76,2
3,46
46,3
3,62
62,3
3,80
80,3
4,11
11,4
4,66
66,4
4,84
84,4
4,94
94,4
5,33
33,5
5,94
94,5
6,7
7,6
6,70
70,6
7,46
46,7
8,38
38,8
8,97
97,8
9,66
66,9
10,21
21,10
10,30
30,10
10,78
78,10
11,25
25,11
13,16
16,13
14,82
82,14
14,97
97,14
16,57
57,16
16,96
96,16
17,91
91,17
18,39
39,18
19,30
30,19
19,67
67,19
19,76
76,19
19,96
96,19
20,25
25,20
20,67
67,20
20,83
83,20
21,49
49,21
21,77
77,21
22,67
67,22
23,29
29,23
23,34
34,23
25,65
65,25
25,90
90,25
26,52
52,26
28,85
85,28
29,30
30,29
30,36
36,30
30,58
58,30
30,95
95,30
31,43
43,31
33,64
64,33
35,54
54,35
37,51
51,37
37,82
82,37
38,55
55,38
39,99
99,39
42,46
46,42
43,54
54,43
43,56
56,43
43,92
92,43
44,46
46,44
44,66
66,44
44,90
90,44
45,60
60,45
45,86
86,45
45,91
91,45
47,61
61,47
49,61
61,49
50,56
56,50
50,78
78,50
50,98
98,50
51,87
87,51
53,66
66,53
55,88
88,55
57,79
79,57
57,91
91,57
58,70
70,58
58,83
83,58
58,94
94,58
59,90
90,59
60,77
77,60
63,91
91,63
68,82
82,68
71,93
93,71
71,94
94,71
73,95
95,73
74,87
87,74
79,80
80,79
80,85
85,80
80,97
97,80
86,95
95,86
